,Старый метод,Новый метод
1000,6.29425048828125e-05,0.00020694732666015625
2000,0.00011301040649414062,0.00020003318786621094
3000,0.0003261566162109375,0.0008709430694580078
4000,0.00022292137145996094,0.0007779598236083984
5000,0.00026917457580566406,0.016438007354736328
6000,0.00033092498779296875,0.0005953311920166016
7000,0.0003781318664550781,0.001405954360961914
8000,0.00043892860412597656,0.001573801040649414
9000,0.0004911422729492188,0.0009191036224365234
10000,0.000553131103515625,0.005051136016845703
11000,0.0005948543548583984,0.0021200180053710938
12000,0.0006330013275146484,0.009786128997802734
13000,0.0006520748138427734,0.0023670196533203125
14000,0.000701904296875,0.0013120174407958984
15000,0.0007460117340087891,0.0027337074279785156
16000,0.0008020401000976562,0.024319887161254883
17000,0.0008630752563476562,0.003101825714111328
18000,0.0009109973907470703,0.008186817169189453
19000,0.001010894775390625,0.003651142120361328
20000,0.0010409355163574219,0.005713939666748047
21000,0.0011320114135742188,0.003980159759521484
22000,0.0012180805206298828,0.004173994064331055
23000,0.002262115478515625,0.005115032196044922
24000,0.0013470649719238281,0.0069277286529541016
25000,0.0012826919555664062,0.0023469924926757812
26000,0.0013339519500732422,0.0024712085723876953
27000,0.0013790130615234375,0.002557039260864258
28000,0.0014150142669677734,0.002588987350463867
29000,0.0014526844024658203,0.002666950225830078
30000,0.0014982223510742188,0.013437986373901367
31000,0.0016169548034667969,0.005644083023071289
32000,0.0015769004821777344,0.002956867218017578
33000,0.0016210079193115234,0.005935192108154297
34000,0.001657247543334961,0.003087759017944336
35000,0.001728057861328125,0.003236055374145508
36000,0.0018110275268554688,0.0064198970794677734
37000,0.0017902851104736328,0.009956121444702148
38000,0.001894235610961914,0.0034911632537841797
39000,0.001959085464477539,0.007116079330444336
40000,0.0020389556884765625,0.0037212371826171875
41000,0.0020258426666259766,0.007491111755371094
42000,0.0020821094512939453,0.0075109004974365234
43000,0.0021800994873046875,0.003994941711425781
44000,0.002209901809692383,0.004120826721191406
45000,0.0022668838500976562,0.008491039276123047
46000,0.002380847930908203,0.012540102005004883
47000,0.0023889541625976562,0.004399299621582031
48000,0.002382993698120117,0.008826971054077148
49000,0.0024411678314208984,0.0045969486236572266
50000,0.002542734146118164,0.00909113883972168
51000,0.0025289058685302734,0.009164094924926758
52000,0.0025670528411865234,0.009346723556518555
53000,0.002623319625854492,0.009546995162963867
54000,0.002660989761352539,0.0049779415130615234
55000,0.002723217010498047,0.01005697250366211
56000,0.002733945846557617,0.005179882049560547
57000,0.002908945083618164,0.010303974151611328
58000,0.0028579235076904297,0.01568317413330078
59000,0.002871990203857422,0.00568699836730957
60000,0.0030329227447509766,0.005790233612060547
61000,0.0030508041381835938,0.005789756774902344
62000,0.0031211376190185547,0.011629819869995117
63000,0.003265857696533203,0.005991935729980469
64000,0.003329753875732422,0.01758289337158203
65000,0.00322723388671875,0.006083011627197266
66000,0.0032699108123779297,0.011986970901489258
67000,0.0033118724822998047,0.006253957748413086
68000,0.0034580230712890625,0.0063018798828125
69000,0.0034439563751220703,0.00634312629699707
70000,0.0035758018493652344,0.006609916687011719
71000,0.003702878952026367,0.019438743591308594
72000,0.003706693649291992,0.01304769515991211
73000,0.0036058425903320312,0.006707906723022461
74000,0.0037069320678710938,0.007012844085693359
75000,0.0037581920623779297,0.006841897964477539
76000,0.0038008689880371094,0.007112026214599609
77000,0.003871917724609375,0.0072019100189208984
78000,0.004000425338745117,0.00761103630065918
79000,0.004096031188964844,0.007467031478881836
80000,0.003973960876464844,0.007463932037353516
81000,0.00438380241394043,0.014786005020141602
82000,0.004215717315673828,0.007720947265625
83000,0.0041730403900146484,0.007688760757446289
84000,0.004222869873046875,0.015176057815551758
85000,0.004310131072998047,0.007866859436035156
86000,0.004264116287231445,0.015738964080810547
87000,0.0043451786041259766,0.008118152618408203
88000,0.004400968551635742,0.008172988891601562
89000,0.004487752914428711,0.008150577545166016
90000,0.0046689510345458984,0.016755104064941406
91000,0.004716157913208008,0.04123997688293457
92000,0.004708766937255859,0.041591644287109375
93000,0.004746913909912109,0.008763790130615234
94000,0.004736185073852539,0.017180919647216797
95000,0.004927873611450195,0.008992910385131836
96000,0.00492405891418457,0.009078025817871094
97000,0.005166053771972656,0.01797795295715332
98000,0.004933834075927734,0.018065929412841797
99000,0.004965066909790039,0.1501760482788086
